3.8000E+01	0.0000E+00	6.8990E+16	1.8510E+16	2.4420E+02	4.6300E+11	8.2520E+14	0.0000E+00	0.0000E+00
3.9000E+01	0.0000E+00	5.9340E+16	1.5920E+16	2.4750E+02	3.9820E+11	7.0980E+14	0.0000E+00	0.0000E+00
4.0000E+01	0.0000E+00	5.1190E+16	1.3730E+16	2.5060E+02	3.4350E+11	6.1230E+14	0.0000E+00	0.0000E+00
4.1000E+01	0.0000E+00	4.4280E+16	1.1880E+16	2.5330E+02	2.9710E+11	5.2960E+14	0.0000E+00	0.0000E+00
4.2000E+01	0.0000E+00	3.8410E+16	1.0310E+16	2.5580E+02	2.5780E+11	4.5950E+14	0.0000E+00	0.0000E+00
4.3000E+01	0.0000E+00	3.3420E+16	8.9660E+15	2.5780E+02	2.2430E+11	3.9980E+14	0.0000E+00	0.0000E+00
4.4000E+01	0.0000E+00	2.9160E+16	7.8220E+15	2.5940E+02	1.9570E+11	3.4880E+14	0.0000E+00	0.0000E+00
4.5000E+01	0.0000E+00	2.5510E+16	6.8420E+15	2.6050E+02	1.7120E+11	3.0510E+14	0.0000E+00	0.0000E+00
4.6000E+01	0.0000E+00	2.2370E+16	6.0010E+15	2.6100E+02	1.5010E+11	2.6760E+14	0.0000E+00	0.0000E+00
4.7000E+01	0.0000E+00	1.9660E+16	5.2740E+15	2.6100E+02	1.3190E+11	2.3520E+14	0.0000E+00	0.0000E+00
4.8000E+01	0.0000E+00	1.7310E+16	4.6440E+15	2.6060E+02	1.1620E+11	2.0700E+14	0.0000E+00	0.0000E+00
4.9000E+01	0.0000E+00	1.5260E+16	4.0940E+15	2.5970E+02	1.0240E+11	1.8250E+14	0.0000E+00	0.0000E+00
5.0000E+01	0.0000E+00	1.3460E+16	3.6120E+15	2.5850E+02	9.0360E+10	1.6110E+14	0.0000E+00	0.0000E+00
5.1000E+01	0.0000E+00	1.1890E+16	3.1890E+15	2.5700E+02	7.9770E+10	1.4220E+14	0.0000E+00	0.0000E+00
5.2000E+01	0.0000E+00	1.0500E+16	2.8160E+15	2.5520E+02	7.0440E+10	1.2560E+14	0.0000E+00	0.0000E+00
5.3000E+01	0.0000E+00	9.2670E+15	2.4860E+15	2.5320E+02	6.2190E+10	1.1080E+14	0.0000E+00	0.0000E+00
5.4000E+01	0.0000E+00	8.1780E+15	2.1940E+15	2.5120E+02	5.4880E+10	9.7820E+13	0.0000E+00	0.0000E+00
5.5000E+01	0.0000E+00	7.2120E+15	1.9350E+15	2.4900E+02	4.8400E+10	8.6270E+13	0.0000E+00	0.0000E+00
5.6000E+01	0.0000E+00	6.3540E+15	1.7050E+15	2.4680E+02	4.2640E+10	7.6010E+13	0.0000E+00	0.0000E+00
